sentence	question	llm_model
An MS.315 is a parasol-winged monoplane with a tailwheel, divided main landing gear, and a Salmson 9Nc radial engine with 135hp (101kW).	What are the key features and engine specifications of the Morane-Saulnier MS.315?	gemini-2.0-flash
He became a full-time war correspondent, covering the conflicts in Haiti, Rwanda, Colombia, Afghanistan, Sierra Leone, and Sudan for publications in Holland, Belgium, Germany, and the USA.	For which conflicts and publications did Teun Voeten work as a full-time war correspondent?	gemini-2.0-flash
Robert Grosseteste, Bishop of Lincoln, a significant intellectual in England, was recognized by Margaret's position as Countess of Lincoln to be legitimate and important. He viewed Margaret as both a patron and peer.	How did Robert Grosseteste, Bishop of Lincoln, view Margaret de Quincy in her position as Countess of Lincoln?	gemini-2.0-flash
Worries over China's intentions emerged when reports that China had acquired one of the T-10Ks, a Su-33 prototype, from Ukraine, to study and reverse engineer a domestic version.	What prompted concerns regarding China's intentions after they obtained a Su-33 prototype (T-10K) from Ukraine?	gemini-2.0-flash
In March, 2005, with help from former Super Friend, Charles Austin, The Call-Up recorded their self titled EP "Undecided" in Halifax, Nova Scotia in Austin's Ultramagnetic Studio.	When and where did The Call-Up record their self-titled EP "Undecided," and who assisted them in the process?	gemini-2.0-flash
There are non-academic achievers such as Maria Felicia Gunawan, who in 2015 carried the Indonesian Flag at the National Palace on Indonesia's independence day.	Who is a notable non-academic achiever from Sekolah Menengah Atas Kristen Penabur Gading Serpong, and what did they achieve in 2015?	gemini-2.0-flash
Netscape Internet Service is a discount Internet service provided by AOL, the current owners of the Netscape brand name, which is trademark registered.	Who provides Netscape Internet Service, and what kind of service is it?	gemini-2.0-flash
He wanted to learn if people can respond to figurative speech at the same speed as literal speech.	What was Sam Glucksberg trying to determine regarding people's response to figurative and literal speech?	gemini-2.0-flash
The company previously partnered with a YouTube channel called 'cessna154' performing similar tasks.	Did Flightsim.com ever collaborate with a YouTube content creator, and if so, what was the name of the channel?	gemini-2.0-flash
The Tel Aviv Gillette Marathon is a multi-course event allowing professional and hobbyist runners to take part.	What type of event is the Tel Aviv Gillette Marathon, and who is allowed to participate?	gemini-2.0-flash
However, the dimeric form of M2-PK is characterized by a low affinity to phosphoenolpyruvate and is nearly inactive at physiological PEP concentrations.	What is the activity of the dimeric form of M2-PK at physiological PEP concentrations?	gemini-2.0-flash
Gregory Jim Rutherford Polanco (born September 14, 1991) is a Dominican professional baseball outfielder.	What is Gregory Jim Rutherford Polanco's full name, profession, and nationality?	gemini-2.0-flash
In the mid- 1950s, there were some attempts to revive the full page Sunday comic strip, notably Lance and Johnny Reb and Billy Yank.	What attempts were made to revive the full-page Sunday comic strip in the mid-1950s, and which comic strips were notable examples of this revival?	gemini-2.0-flash
That is not the case, and this is one of the approximations used to derive the equation.	Is it accurate to assume that no approximations are made when deriving Kirchhoff's diffraction formula?	gemini-2.0-flash
Researchers are also seeking to ascertain the relationship of religion and ancient politics more generally, at sites in Wisconsin and the Cahokia area.	Where are researchers seeking to ascertain the relationship of religion and ancient politics?	gemini-2.0-flash
Founded in 1895, the club competes in the Topklasse, the highest tier of football in the Netherlands.	When was Amsterdamsche FC founded, and in which league does it currently compete?	gemini-2.0-flash
The Steel were the first team from Mexico to play in an American indoor football league, as well as the first team from outside the United States to play since the Toronto Phantoms of the Arena Football League (2001-2002).	What distinctions did the Monterrey Steel hold as a team in American indoor football leagues?	gemini-2.0-flash
Laid down on 2 April 1991, launched on 11 November 1991 and commissioned on 15 April 1992.	What were the dates when the Hämeenmaa-class minelayer was laid down, launched, and commissioned?	gemini-2.0-flash
The requirements were that it could be used for long-range transport, defensive patrolling, reconnaissance, light bombing, and torpedo attacks.	What roles was the Tupolev ANT-7 designed to fulfill?	gemini-2.0-flash
Sensory Stimulation Therapy (SS) is an experimental therapy aiming to utilize neural plasticity mechanisms to aid in recovering somatosensory system function after stroke or cognitive aging.	What is Sensory Stimulation Therapy (SS)?	gemini-2.0-flash
